stn_number,lat,lng,elev
66124,-33.79,151.02,55
66137,-33.92,150.99,7
66161,-33.99,150.95,68
66194,-33.91,151.11,3
66212,-33.83,151.07,4
67019,-33.82,150.91,61
67105,-33.6,150.78,19
67108,-33.9,150.73,81
67113,-33.72,150.68,25
67119,-33.85,150.86,100
68072,-34.95,150.54,109
68151,-35.09,150.8,85
68192,-34.04,150.69,74
68228,-34.37,150.93,10
68239,-34.53,150.42,678
68241,-34.56,150.79,8
68242,-34.65,150.86,16
68257,-34.06,150.77,112
68262,-34.33,150.27,814
68263,-34.08,150.9,165
68264,-35.14,150.7,57
69017,-36.25,150.23,52
69018,-35.91,150.15,17
69022,-36.21,150.14,25
69128,-35.11,150.08,622
69132,-35.43,149.78,665
69134,-35.72,150.19,11
69137,-37.26,150.05,19
69138,-35.36,150.48,36
69139,-36.67,149.82,41
69147,-36.91,149.9,2
69148,-35.9,150.14,4
70005,-36.91,149.24,705
70080,-34.4,149.82,845
70217,-36.29,148.97,930
70263,-34.75,149.7,670
70278,-36.23,149.12,778
70328,-37.0,149.23,761
70330,-34.81,149.73,640
70339,-35.42,149.09,587
70349,-35.53,148.77,1760
70351,-35.31,149.2,577
70358,-34.82,148.91,498
7045,-26.61,118.54,517
71032,-36.49,148.29,1957
71041,-36.5,148.3,1380
71075,-36.41,148.41,1738
7139,-29.27,117.68,339
7176,-23.42,119.8,524
7185,-23.17,117.75,424
72023,-36.1,147.03,184
72043,-35.78,148.01,645
72150,-35.16,147.46,212
72160,-36.07,146.95,164
72161,-35.94,148.38,1482
72162,-36.23,148.14,339
73007,-35.0,148.6,390
73014,-33.89,148.15,390
73032,-34.01,147.79,250
73138,-34.25,148.25,380
73141,-35.06,148.1,225
73142,-34.63,148.04,335
73151,-34.43,147.51,281
74034,-35.99,146.36,143
74037,-34.62,146.43,164
74106,-35.82,145.6,114
74148,-34.71,146.51,145
74258,-35.56,144.95,94
74272,-35.13,147.25,187
75019,-34.54,144.83,92
75032,-33.49,145.52,122
75039,-33.28,146.37,169
75041,-34.25,146.07,134
7600,-28.12,117.84,407
76031,-34.24,142.09,50
76047,-35.07,142.31,65
76064,-35.12,142.0,105
77094,-35.38,143.54,71
78015,-36.31,141.65,139
78077,-36.26,142.41,113
79028,-36.67,142.3,133
79100,-36.67,142.17,134
79101,-37.23,143.2,875
79105,-37.07,142.74,235
80015,-36.16,144.76,96
80023,-35.72,143.92,78
80091,-36.34,145.06,105
8025,-29.69,115.89,268
8095,-28.54,115.51,268
81049,-36.44,145.27,114
81123,-36.74,144.33,209
81125,-36.43,145.39,114
8137,-30.89,116.72,283
82039,-36.1,146.51,175
82042,-36.85,145.73,502
82076,-36.54,147.5,365
82138,-36.42,146.31,153
82139,-36.21,147.54,981
82169,-36.18,147.89,290
82170,-36.55,146.0,171
8251,-27.71,114.17,6
8290,-28.3,113.59,2
8296,-29.2,116.02,271
8297,-30.28,116.67,325
83024,-37.15,146.44,1707
83083,-36.74,146.47,365
83084,-36.87,147.28,1765
83085,-36.98,147.13,1849
83090,-37.1,147.6,690
8315,-28.8,114.7,30
84016,-37.57,149.92,15
84070,-37.8,149.27,27
84084,-37.6,149.73,22
84142,-37.22,148.26,755
84143,-37.34,149.02,640
84144,-37.69,148.09,350
84145,-37.69,148.47,63
84150,-37.87,148.01,4
85072,-38.12,147.13,5
85279,-37.88,147.57,49
85280,-38.21,146.47,56
85296,-37.75,147.14,480
85314,-38.1,147.14,5
86038,-37.73,144.91,78
86068,-37.74,145.1,66
86077,-37.98,145.1,12
86104,-37.87,145.26,80
86282,-37.67,144.83,113
86338,-37.83,144.98,8
86351,-37.72,145.05,83
86361,-38.36,145.18,13
86373,-38.46,145.31,13
86375,-38.13,145.26,85
86383,-37.72,145.41,83
87031,-37.86,144.76,20
87113,-38.03,144.48,11
87168,-37.91,144.13,237
87184,-38.17,144.38,13
88023,-37.23,145.91,230
88043,-37.06,143.73,249
88051,-37.02,144.52,290
88109,-36.89,145.19,141
88110,-37.08,144.24,330
88162,-37.38,144.97,528
88164,-37.21,145.84,637
89002,-37.51,143.79,435
89085,-37.28,142.98,295
90015,-38.86,143.51,82
90035,-38.23,143.79,261
90171,-38.31,141.47,81
90173,-37.65,142.06,241
90175,-38.39,142.23,10
90176,-38.07,142.77,130
90180,-38.46,144.09,105
90182,-37.58,141.33,131
90184,-38.43,141.54,45
90186,-38.29,142.45,71
9021,-31.93,115.98,15
9037,-30.34,115.54,275
9053,-31.67,116.02,40
9106,-32.05,115.98,10
9111,-32.44,116.08,286
91126,-41.17,146.43,8
9114,-31.02,115.33,2
91223,-40.91,144.71,107
91237,-41.42,147.12,5
91259,-41.15,145.15,344
91284,-41.0,147.39,52
91293,-41.05,146.79,3
91306,-41.73,147.08,148
9131,-30.31,115.03,2
91311,-41.55,147.22,167
91331,-40.68,144.69,86
9172,-32.1,115.88,30
9178,-31.46,115.86,73
9193,-32.01,115.5,43
9194,-32.22,115.81,14
92003,-41.87,148.3,11
92012,-41.64,147.97,237
92019,-42.01,147.8,575
92027,-42.55,147.88,14
92045,-40.99,148.35,20
92114,-42.0,148.28,55
92124,-42.66,148.02,28
9215,-31.96,115.76,41
9225,-31.92,115.87,25
9240,-32.01,116.14,384
9256,-32.24,115.68,6
9280,-30.84,115.23,7
9281,-31.81,116.02,16
94008,-42.83,147.5,4
94020,-43.33,147.0,20
94029,-42.89,147.33,51
94041,-43.66,146.27,147
94087,-42.9,147.24,1260
94137,-43.16,146.92,55
94191,-43.2,146.77,831
94198,-43.49,147.14,60
94201,-42.49,147.2,238
94212,-42.69,147.43,45
94220,-42.99,147.07,65
94255,-43.06,147.36,6
9500,-35.03,117.88,3
95003,-42.71,146.9,27
95048,-42.48,146.71,90
95063,-42.76,146.62,281
9518,-34.37,115.14,13
9519,-33.54,115.02,109
9534,-33.57,115.82,63
9538,-32.71,116.06,267
9542,-33.68,121.83,142
9573,-34.25,116.15,287
9581,-34.63,117.64,300
9592,-34.45,116.04,174
9603,-33.68,115.4,16
96033,-41.9,146.67,1057
96071,-42.12,146.18,742
9617,-33.95,116.13,179
97000,-42.2,145.17,19
97080,-42.98,145.5,34
97085,-41.84,145.54,1120
9746,-34.03,115.1,80
9789,-33.83,121.89,25
98017,-39.88,143.89,35
9842,-33.8,115.67,130
9871,-34.84,116.03,5
9961,-33.93,120.13,26
9964,-34.57,117.01,250
9965,-33.36,115.64,5
9968,-34.57,116.34,210
9977,-32.52,115.71,3
9994,-33.36,116.17,200
9998,-34.95,116.72,73
9999,-34.94,117.82,68
