Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,23013,1975,05,5.5,03,Y
IDCJAC0008,23013,1975,06,0.3,22,Y
IDCJAC0008,23013,1975,07,-0.5,03,Y
IDCJAC0008,23013,1975,08,1.6,28,Y
IDCJAC0008,23013,1975,09,0.7,05,Y
IDCJAC0008,23013,1975,10,2.5,01,Y
IDCJAC0008,23013,1975,11,6.5,07,Y
IDCJAC0008,23013,1975,12,7.9,19,Y
IDCJAC0008,23013,1976,01,11.5,29,Y
IDCJAC0008,23013,1976,02,13.7,10,Y
IDCJAC0008,23013,1976,03,7.4,30,Y
IDCJAC0008,23013,1976,04,5.3,24,Y
IDCJAC0008,23013,1976,05,2.2,12,Y
IDCJAC0008,23013,1976,06,0.6,22,Y
IDCJAC0008,23013,1976,07,-0.3,20,Y
IDCJAC0008,23013,1976,08,1.3,19,Y
IDCJAC0008,23013,1976,09,2.0,18,Y
IDCJAC0008,23013,1976,10,4.3,01,Y
IDCJAC0008,23013,1976,11,6.4,17,Y
IDCJAC0008,23013,1976,12,7.7,19,Y
IDCJAC0008,23013,1977,01,10.7,02,Y
IDCJAC0008,23013,1977,02,10.8,13,Y
IDCJAC0008,23013,1977,03,9.2,17,Y
IDCJAC0008,23013,1977,04,6.0,30,Y
IDCJAC0008,23013,1977,05,4.3,01,Y
IDCJAC0008,23013,1977,06,1.0,09,Y
IDCJAC0008,23013,1977,07,0.8,30,Y
IDCJAC0008,23013,1977,08,2.4,16,Y
IDCJAC0008,23013,1977,09,1.9,14,Y
IDCJAC0008,23013,1977,10,4.9,06,Y
IDCJAC0008,23013,1977,11,6.4,16,Y
IDCJAC0008,23013,1977,12,7.9,19,Y
IDCJAC0008,23013,1978,01,10.6,29,Y
IDCJAC0008,23013,1978,02,10.5,22,Y
IDCJAC0008,23013,1978,03,6.0,31,Y
IDCJAC0008,23013,1978,04,7.2,27,Y
IDCJAC0008,23013,1978,05,4.2,11,Y
IDCJAC0008,23013,1978,06,1.9,21,Y
IDCJAC0008,23013,1978,07,0.6,09,Y
IDCJAC0008,23013,1978,08,-1.0,24,Y
IDCJAC0008,23013,1978,09,2.3,19,Y
IDCJAC0008,23013,1978,10,3.9,14,Y
IDCJAC0008,23013,1978,11,5.2,14,Y
IDCJAC0008,23013,1978,12,9.5,07,Y
IDCJAC0008,23013,1979,01,12.3,22,Y
IDCJAC0008,23013,1979,02,10.7,15,Y
IDCJAC0008,23013,1979,03,9.6,19,Y
IDCJAC0008,23013,1979,04,5.0,30,Y
IDCJAC0008,23013,1979,05,0.7,17,Y
IDCJAC0008,23013,1979,06,1.3,27,Y
IDCJAC0008,23013,1979,07,0.6,19,Y
IDCJAC0008,23013,1979,08,1.6,21,Y
IDCJAC0008,23013,1979,09,1.3,01,Y
IDCJAC0008,23013,1979,10,4.7,01,Y
IDCJAC0008,23013,1979,11,7.3,26,Y
IDCJAC0008,23013,1979,12,8.9,11,Y
IDCJAC0008,23013,1980,01,10.1,16,Y
IDCJAC0008,23013,1980,02,8.5,05,Y
IDCJAC0008,23013,1980,03,7.8,23,Y
IDCJAC0008,23013,1980,04,6.7,28,Y
IDCJAC0008,23013,1980,05,3.5,22,Y
IDCJAC0008,23013,1980,06,1.7,21,Y
IDCJAC0008,23013,1980,07,1.8,23,Y
IDCJAC0008,23013,1980,08,0.0,16,Y
IDCJAC0008,23013,1980,09,2.5,05,Y
IDCJAC0008,23013,1980,10,5.9,24,Y
IDCJAC0008,23013,1980,11,5.4,03,Y
IDCJAC0008,23013,1980,12,7.4,05,Y
IDCJAC0008,23013,1981,01,11.4,23,Y
IDCJAC0008,23013,1981,02,10.4,22,Y
IDCJAC0008,23013,1981,03,7.3,22,Y
IDCJAC0008,23013,1981,04,6.2,28,Y
IDCJAC0008,23013,1981,05,5.3,12,Y
IDCJAC0008,23013,1981,06,2.9,16,Y
IDCJAC0008,23013,1981,07,2.5,17,Y
IDCJAC0008,23013,1981,08,1.0,29,Y
IDCJAC0008,23013,1981,09,2.6,04,Y
IDCJAC0008,23013,1981,10,4.1,15,Y
IDCJAC0008,23013,1981,11,5.7,06,Y
IDCJAC0008,23013,1981,12,7.7,14,Y
IDCJAC0008,23013,1982,01,11.1,13,Y
IDCJAC0008,23013,1982,02,11.0,24,Y
IDCJAC0008,23013,1982,03,9.4,25,Y
IDCJAC0008,23013,1982,04,7.8,18,Y
IDCJAC0008,23013,1982,05,4.1,29,Y
IDCJAC0008,23013,1982,06,-2.2,08,Y
IDCJAC0008,23013,1982,07,-1.3,16,Y
IDCJAC0008,23013,1982,08,0.0,06,Y
IDCJAC0008,23013,1982,09,2.4,05,Y
IDCJAC0008,23013,1982,10,3.6,11,Y
IDCJAC0008,23013,1982,11,4.7,01,Y
IDCJAC0008,23013,1982,12,6.0,05,Y
IDCJAC0008,23013,1983,01,9.0,12,Y
IDCJAC0008,23013,1983,02,12.5,03,Y
IDCJAC0008,23013,1983,03,10.3,29,Y
IDCJAC0008,23013,1983,04,3.5,17,Y
IDCJAC0008,23013,1983,05,1.6,19,Y
IDCJAC0008,23013,1983,06,-0.3,27,Y
IDCJAC0008,23013,1983,07,-0.3,20,Y
IDCJAC0008,23013,1983,08,0.0,18,Y
IDCJAC0008,23013,1983,09,3.4,24,Y
IDCJAC0008,23013,1983,10,3.4,04,Y
IDCJAC0008,23013,1983,11,6.0,17,Y
IDCJAC0008,23013,1983,12,8.6,04,Y
IDCJAC0008,23013,1984,01,10.3,04,Y
IDCJAC0008,23013,1984,02,9.7,28,Y
IDCJAC0008,23013,1984,03,6.7,28,Y
IDCJAC0008,23013,1984,04,5.4,28,Y
IDCJAC0008,23013,1984,05,2.3,05,Y
IDCJAC0008,23013,1984,06,0.4,20,Y
IDCJAC0008,23013,1984,07,1.2,26,Y
IDCJAC0008,23013,1984,08,3.3,29,Y
IDCJAC0008,23013,1984,09,2.7,12,Y
IDCJAC0008,23013,1984,10,4.5,19,Y
IDCJAC0008,23013,1984,11,7.0,05,Y
IDCJAC0008,23013,1984,12,8.7,05,Y
IDCJAC0008,23013,1985,01,9.7,07,Y
IDCJAC0008,23013,1985,02,11.5,17,Y
IDCJAC0008,23013,1985,03,9.3,07,Y
IDCJAC0008,23013,1985,04,6.5,23,Y
IDCJAC0008,23013,1985,05,-0.5,22,Y
IDCJAC0008,23013,1985,06,0.8,07,Y
IDCJAC0008,23013,1985,07,0.4,13,Y
IDCJAC0008,23013,1985,08,2.8,19,Y
IDCJAC0008,23013,1985,09,1.4,04,Y
IDCJAC0008,23013,1985,10,4.0,20,Y
IDCJAC0008,23013,1985,11,8.1,16,Y
IDCJAC0008,23013,1985,12,8.9,24,Y
IDCJAC0008,23013,1986,01,9.7,19,Y
IDCJAC0008,23013,1986,02,9.4,03,Y
IDCJAC0008,23013,1986,03,9.9,25,Y
IDCJAC0008,23013,1986,04,6.6,28,Y
IDCJAC0008,23013,1986,05,5.3,31,Y
IDCJAC0008,23013,1986,06,1.7,03,Y
IDCJAC0008,23013,1986,07,2.4,28,Y
IDCJAC0008,23013,1986,08,3.4,17,Y
IDCJAC0008,23013,1986,09,3.0,10,Y
IDCJAC0008,23013,1986,10,3.2,27,Y
