Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,72023,1977,05,19.4,06,Y
IDCJAC0005,72023,1977,06,17.8,19,Y
IDCJAC0005,72023,1977,07,15.0,11,Y
IDCJAC0005,72023,1977,08,22.0,29,Y
IDCJAC0005,72023,1977,09,24.4,29,Y
IDCJAC0005,72023,1977,10,32.6,28,Y
IDCJAC0005,72023,1977,11,36.7,28,Y
IDCJAC0005,72023,1977,12,38.4,14,Y
IDCJAC0005,72023,1978,01,40.0,15,Y
IDCJAC0005,72023,1978,02,39.7,20,Y
IDCJAC0005,72023,1978,03,36.8,11,Y
IDCJAC0005,72023,1978,04,27.2,06,Y
IDCJAC0005,72023,1978,05,25.5,07,Y
IDCJAC0005,72023,1978,06,16.6,15,Y
IDCJAC0005,72023,1978,07,15.6,19,Y
IDCJAC0005,72023,1978,08,18.5,31,Y
IDCJAC0005,72023,1978,09,19.8,20,Y
IDCJAC0005,72023,1978,10,27.2,25,Y
IDCJAC0005,72023,1978,11,33.8,26,Y
IDCJAC0005,72023,1978,12,33.7,31,Y
IDCJAC0005,72023,1979,01,42.4,09,Y
IDCJAC0005,72023,1979,02,38.3,02,Y
IDCJAC0005,72023,1979,03,34.4,01,Y
IDCJAC0005,72023,1979,04,25.6,21,Y
IDCJAC0005,72023,1979,05,21.4,02,Y
IDCJAC0005,72023,1979,06,19.5,21,Y
IDCJAC0005,72023,1979,07,16.6,21,Y
IDCJAC0005,72023,1979,08,17.4,28,Y
IDCJAC0005,72023,1979,09,23.0,26,Y
IDCJAC0005,72023,1979,10,27.9,22,Y
IDCJAC0005,72023,1979,11,30.0,19,Y
IDCJAC0005,72023,1979,12,38.5,30,Y
IDCJAC0005,72023,1980,01,35.0,28,Y
IDCJAC0005,72023,1980,02,41.0,20,Y
IDCJAC0005,72023,1980,03,36.8,21,Y
IDCJAC0005,72023,1980,04,29.6,14,Y
IDCJAC0005,72023,1980,05,24.3,09,Y
IDCJAC0005,72023,1980,06,16.3,01,Y
IDCJAC0005,72023,1980,07,16.2,14,Y
IDCJAC0005,72023,1980,08,21.2,30,Y
IDCJAC0005,72023,1980,09,27.0,30,Y
IDCJAC0005,72023,1980,10,29.3,27,Y
IDCJAC0005,72023,1980,11,40.3,17,Y
IDCJAC0005,72023,1980,12,39.0,22,Y
IDCJAC0005,72023,1981,01,40.2,26,Y
